"Fertility and socio-economic data of Switzerland, 1870",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
The fertility of women per district is to be modelled as a function of,,,,,,,,,,,,,,,,,,,,,,,,
socio-economic variables.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Dimension: 182 districts, 25 variables",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
fertility,fertTotal,infantMort,catholic,single24,single49,eAgric,eIndustry,eCommerce,eTransport,eAdmin,german,french,italian,romansh,gradeHigh,gradeLow,educHigh,bornLocal,bornForeign,sexratio,canton,district,altitude,language
54.3,27.3,16.8,2.15,72.7,11.4,19.5,64.8,5.4,5.7,3,2.44,97.21,0.24,0,31,13,20,79.5,2.1,1061,Vaud,La~Vallee,high,french
65.1,32.6,20,2.84,74.9,12.9,76.8,15,2.1,3,2.8,4.53,94.28,0.93,0.03,19,18,9,57.1,1.8,967,Vaud,Lavaux,low,french
65.5,32,18,5.23,75.2,11.1,65.9,20.8,4.4,4.6,3.7,7.27,91.57,0.71,0.04,22,8,10,46.9,4.8,1001,Vaud,Morges,low,french
65,35.4,22.4,4.52,67.7,14.4,60.6,30.4,3,2.5,2.9,6.92,91.75,1.15,0.01,14,12,3,51,2.5,1109,Vaud,Moudon,middle,french
56.6,29.2,16.7,15.14,78.1,7,59.1,25.7,5.7,4.4,4.7,7.73,90.53,1.31,0.01,22,12,12,43.1,12.2,1047,Vaud,Nyone,low,french
57.4,33.6,15.3,4.2,68.2,9.8,59.6,27.9,3.2,5.9,3.2,4.98,93.78,1.12,0,20,11,6,63.3,3.8,1066,Vaud,Orbe,middle,french
72.5,39.2,21,2.4,67.1,7.3,74.9,18,2.1,2.1,2.7,3.33,96.32,0.35,0,12,13,1,57.8,0.8,1077,Vaud,Oron,middle,french
74.2,39,23.8,5.23,73.6,15.8,64.2,24,3.3,4.3,3.2,9.42,89.73,0.8,0.02,14,10,8,62.6,1.8,1051,Vaud,Payerne,low,french
72,39.5,18,2.56,77.9,18.7,69.2,18.5,2.6,4.3,4.8,9.8,89.85,0.09,0,6,30,3,74.7,1,1020,Vaud,Paysd'enhaut,middle,french
60.5,30.7,16.3,7.72,72.1,10,67.7,19.6,4.4,4.4,3.8,8.67,90.17,0.83,0.02,16,11,10,44.1,6.3,1024,Vaud,Rolle,low,french
58.3,23.1,20.9,18.46,81.7,18.6,33.7,37,14.5,7,6,18.91,75.39,3.39,0.04,25,11,19,37.1,12,864,Vaud,Vevey,low,french
65.4,34.2,22.5,6.1,72.3,11.6,55.7,25.6,4.8,9.6,3.3,9.33,89.56,1.01,0.02,15,10,8,49.9,3.6,1016,Vaud,Yverdon,low,french
92.5,34,18.4,99.23,88.6,22.5,70.8,14.5,5.2,5,3.7,96.3,1.85,1.78,0.05,9,44,5,74.7,2.1,997,Valais,Brig,middle,german
75.5,37.7,15.1,99.71,74.1,15.8,86.1,10.5,1,0.7,1.7,0.38,99.06,0.55,0,3,33,2,92.6,0.9,1081,Valais,Conthey,middle,french
69.3,29,19.8,99.68,82.1,21.3,85.3,10.5,1.2,0.6,2.3,0.03,99.71,0.26,0,7,29,6,94.9,0.5,1020,Valais,Entremont,middle,french
95.8,34.2,21.2,99.98,94.7,25.6,84.8,9.2,1.9,1.5,2.5,99.36,0.12,0.52,0,7,26,2,80.1,0.5,962,Valais,Goms,high,german
77.3,30.2,18.3,100,81.7,32.3,88.2,8.2,0.6,0.7,2.2,0.06,99.8,0.14,0,5,43,2,94.3,0.5,967,Valais,Herens,high,french
91.5,41.7,18.3,99.52,79,23.2,81.6,10.1,3.1,1.3,3.9,97.81,1.54,0.65,0,5,43,2,80.5,1.2,996,Valais,Leuk,high,german
70.5,35,19.4,98.96,71.7,17.2,81,11.9,2.9,1.8,2.4,0.72,98.27,1.01,0,12,29,6,81.4,2.1,1033,Valais,Martigwy,low,french
79.4,31.3,20.2,98.22,81.9,21.5,67.1,22.6,2.6,4.5,3,2.7,95.32,1.97,0,7,35,3,79.6,4.7,1003,Valais,Monthey,low,french
90.6,33.9,17.2,99.93,83.3,22.3,88.5,6.5,1.7,1,2.3,99.64,0.25,0.1,0,8,40,4,83.8,0.2,958,Valais,Raron,high,german
65,30.4,17.8,99.06,75,16.8,78.4,10.2,2.8,4.1,4.4,1.17,98.37,0.43,0,9,23,9,80.6,2,1052,Valais,St~Maurice,low,french
92.2,39.8,16.3,99.46,78.6,24.2,84.3,10.2,2,1.3,2.2,10.27,88.85,0.79,0,3,37,3,82.3,0.9,1018,Valais,Sierre,middle,french
79.3,28,18.1,96.83,86.9,23.6,65.4,19.2,4.3,2.9,8,23.13,74.98,1.8,0,13,25,13,65.1,4.6,992,Valais,Sion,middle,french
96,37.4,16.4,99.81,83.3,22.7,81.9,9.7,3.1,2.8,2.4,99.16,0.37,0.46,0.01,4,35,2,84.8,0.6,1007,Valais,Visp,high,german
70.4,31.5,20.3,5.62,77.7,17.8,46.9,34.2,5.2,6.9,4.8,17.1,81.14,1.36,0.02,26,11,12,43.2,5,971,Neuchatl,Boudry,low,french
65.7,31.5,20.5,13.79,74.8,14.7,10.1,70.8,8,6.9,3.4,25.72,72.5,1.69,0.02,29,9,11,44.7,8.3,905,Neuchatl,La~Chauxdfnd,middle,french
72.7,33.6,18.9,11.22,76.2,12.7,22.1,64,5.4,3.4,3.8,13.8,85.43,0.6,0,22,14,13,54,6.1,920,Neuchatl,Le~Locle,middle,french
64.4,24.2,23,16.92,84.7,20.3,22.8,43.9,13.2,10.4,7.8,28.18,69.6,1.42,0.03,35,9,32,38.7,8.4,840,Neuchatl,Neuchatel,low,french
77.6,38.1,20,4.97,75.9,15,46.1,42.7,3.7,2.9,3.8,23.53,75.35,1.11,0,15,17,7,44,2.9,998,Neuchatl,Val~de~Ruz,middle,french
67.6,33.4,19.5,8.65,73.5,13.8,24.3,60.6,5.1,5.3,3.2,11.4,86.63,1.81,0.02,25,12,7,52.3,5.7,963,Neuchatl,ValdeTravers,middle,french
35,15.3,18,42.34,80.5,21,1.7,51.7,24.6,9.3,9.8,15.61,80.08,2.79,0.12,37,6,53,33.7,30.9,815,Geneve,V.~De~Geneve,low,french
44.7,21.6,18.2,50.43,76.3,12.9,53.4,25.3,7.9,6.3,5.8,7.85,88.56,2.24,0.06,16,14,29,27.4,31.2,1026,Geneve,Rive~Droite,low,french
42.8,21.8,19.3,58.33,77.6,14.5,34.5,35.6,12.9,6.4,8.3,7.84,88.76,2.07,0.07,22,13,29,27.7,32.4,910,Geneve,Rive~Gauche,low,french
