,iyear,imonth,iday,country_txt,region_txt,city,latitude,longitude,summary,doubtterr,multiple,success,suicide,attacktype1_txt,attacktype2_txt,attacktype3_txt,targtype1_txt,corp1,target1,natlty1_txt,targtype2_txt,corp2,target2,natlty2_txt,targtype3_txt,corp3,target3,natlty3_txt,gname,gname2,gname3,motive,individual,nperps,nperpcap,claim2,claim3,weaptype1_txt,weaptype2_txt,weaptype3_txt,weaptype4_txt,weapdetail,nkill,nkillter,nwound,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhours,ndays,ransom,ransomamt,ransompaid,ransomnote,hostkidoutcome_txt,nreleased,,
41530,1990,2,22,India,South Asia,Srinagar,34.08374,74.789902,,0,0,1,0,Bombing/Explosion,,,Tourists,Govt,Tourist Reception Center,India,,,,,,,,,Unknown,,,,0,NA,NA,NA,NA,Explosives,,,,Explosive,0,NA,0,NA,1,NA,,NA,,0,NA,NA,NA,0,NA,NA,,,NA,,
181192,2017,12,10,Ukraine,Eastern Europe,Sokilnyky,49.778153,23.976784,"12/10/2017: Assailants fired a projectile at an empty Polish tour bus parked at the Panska Hora Hotel in Sokilnyky, Lviv, Ukraine. There were no reported casualties in the attack. No group claimed responsibility for the incident.",0,0,1,0,Bombing/Explosion,,,Tourists,Unknown,Bus,Poland,,,,,,,,,Unknown,,,"The specific motive is unknown; however, sources posited that the attack was related to Polish-Ukrainian relations.",0,-99,0,NA,NA,Explosives,,,,A rocket-propelled grenade (RPG) was used in the attack.,0,0,0,0,1,3,Minor (likely < $1 million),-99,A bus was damaged in this attack.,0,NA,NA,NA,NA,NA,NA,,,NA,,
7037,1978,11,25,El Salvador,Central America & Caribbean,El Playon,13.8136,-89.33194,,0,0,1,0,Bombing/Explosion,,,Unknown,,Unknown,El Salvador,,,,,,,,,Unknown,,,,0,NA,NA,NA,NA,Explosives,,,,Explosive,3,NA,0,NA,1,4,Unknown,NA,,0,NA,NA,NA,0,NA,NA,,,NA,,
146530,2015,4,7,Pakistan,South Asia,Parachinar,33.901374,70.103534,"04/07/2015: An explosive device was discovered and defused in Wacha Darra, near Parachinar, Federally Administered Tribal Areas, Pakistan. No group claimed responsibility for the attack.",0,0,0,0,Bombing/Explosion,,,Unknown,Unknown,Unknown,Pakistan,,,,,,,,,Unknown,,,,0,-99,0,NA,NA,Explosives,,,,A 10-kilogram explosive device was used in the attack.,0,0,0,0,0,NA,,NA,,0,NA,NA,NA,NA,NA,NA,,,NA,,
70765,2000,7,28,Spain,Western Europe,Durango,43.169068,-2.632655,"07/28/2000: A firebomb was thrown at the home of a Popular Party councilor, Juan Manuel Micolta Abrisqueta, in Durango, Spain. Euskadi ta Askatasuna (ETA) members were suspected responsible for the attack, which caused no casualties.",0,0,1,0,Facility/Infrastructure Attack,,,Government (General),Popular Party Councilor,Juan Manuel Micolta Abrisqueta,Spain,,,,,,,,,Basque Fatherland and Freedom (ETA),,,Unknown,0,NA,0,NA,NA,Incendiary,,,,Molotov cocktails were used in the incident.,0,0,0,0,1,3,Minor (likely < $1 million),NA,The incident resulted in damage to the councilor's home.,0,NA,NA,NA,NA,NA,NA,,,NA,,
50602,1992,3,17,Turkey,Middle East & North Africa,Istanbul,41.106178,28.689863,,0,1,1,0,Facility/Infrastructure Attack,,,Business,,Bank,Turkey,,,,,,,,,Kurdistan Workers' Party (PKK),,,,0,NA,NA,NA,NA,Incendiary,,,,Incendiary,0,NA,0,NA,1,NA,,NA,,0,NA,NA,NA,0,NA,NA,,,NA,,
163805,2016,6,19,Afghanistan,South Asia,Tagab Yari,34.464455,63.28056,"06/19/2016: Assailants opened fire on civilians in Tagab Yari, Herat, Afghanistan. At least three assailants and six civilians were injured in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to the Taliban and stated that the victims were accused of breaking the Ramadan fast.",0,0,1,0,Armed Assault,,,Private Citizens & Property,Not Applicable,Civilians,Afghanistan,,,,,,,,,Taliban,,,"The specific motive is unknown; however, sources posited that the Taliban targeted the victims for not fasting during Ramadan.",0,-99,0,NA,NA,Firearms,,,,,0,0,9,3,0,NA,,NA,,0,NA,NA,NA,NA,NA,NA,,,NA,,
6195,1978,4,11,Italy,Western Europe,Cagliari,39.215409,9.109324,,0,0,1,0,Bombing/Explosion,,,Police,,Car of prison guard,Italy,,,,,,,,,Unknown,,,,0,NA,NA,NA,NA,Explosives,,,,Explosive,0,NA,0,NA,1,3,Minor (likely < $1 million),200,,0,NA,NA,NA,0,NA,NA,,,NA,,
44788,1990,12,5,Chile,South America,Santiago,-33.366238,-70.505302,,-9,0,1,0,Bombing/Explosion,,,Private Citizens & Property,govt,San Borja Park,Chile,,,,,,,,,Unknown,,,,0,NA,NA,NA,NA,Explosives,,,,Explosive,0,NA,0,NA,1,NA,,NA,,0,NA,NA,NA,0,NA,NA,,,NA,,
121175,2013,9,13,Afghanistan,South Asia,Tarin Kot,32.666681,65.907893,"09/13/2013: A landmine detonated near a civilian house in Tarinkot city, Uruzgan province, Afghanistan. At least four civilians were killed by the blast. No group claimed responsibility for the incident.",0,0,1,0,Bombing/Explosion,,,Private Citizens & Property,Not Applicable,House,Afghanistan,,,,,,,,,Unknown,,,,0,-99,0,NA,NA,Explosives,,,,,4,0,0,0,0,NA,,NA,,0,NA,NA,NA,NA,NA,NA,,,NA,,
140978,2014,11,28,Nigeria,Sub-Saharan Africa,Kano,11.974328,8.50026,"11/28/2014: Two suicide bombers and a roadside bomb detonated at the Grand Mosque in Kano city, Kano state, Nigeria. Assailants opened fire on worshippers fleeing the explosions. In addition to the assailants, at least 120 people were killed and 270 people were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram.",0,0,1,1,Bombing/Explosion,Armed Assault,,Religious Figures/Institutions,Grand Mosque,Mosque,Nigeria,,,,,,,,,Boko Haram,,,"The specific motive is unknown; however, sources noted that the emir of Kano state encouraged residents at the Grand Mosque to fight Boko Haram, a week prior to the attack.",0,-99,0,NA,NA,Explosives,Explosives,Firearms,,"Two suicide bombers, a roadside bomb and firearms were used in the attack.",122,2,270,0,1,3,Minor (likely < $1 million),-99,A mosque was damaged in this attack.,0,NA,NA,NA,NA,NA,NA,,,NA,,
68577,1999,3,3,Turkey,Middle East & North Africa,Istanbul,41.106178,28.689863,"03/03/1999: Unidentified assailants threw Molotov cocktails at a car in the parking lot of the Directorate General of Monopoly in the Unkapani district of Istanbul, Turkey. The car and offices were damaged in the attack.",0,1,1,0,Bombing/Explosion,,,Government (General),Directorate General of Monopoly,Car in parking lot of Directorate General of Monopoly offices,Turkey,,,,,,,,,Unknown,,,Unknown,0,NA,NA,NA,NA,Incendiary,,,,Molotov cocktails were used in the attack.,0,0,0,0,1,3,Minor (likely < $1 million),NA,The car was severely damaged and there was minor damage to the Directorate offices.,0,NA,NA,NA,NA,NA,NA,,,NA,,
140078,2014,11,5,Iraq,Middle East & North Africa,Tarmiyah,33.669689,44.381317,"11/05/2014: An explosive device detonated targeting a military patrol in Tarmiyah area, Saladin governorate, Iraq. One soldier was killed and five soldiers were injured in the blast. No group claimed responsibility for the incident.",1,0,1,0,Bombing/Explosion,,,Military,Iraqi Army,Patrol,Iraq,,,,,,,,,Unknown,,,,0,-99,0,NA,NA,Explosives,,,,,1,0,5,0,0,NA,,NA,,0,NA,NA,NA,NA,NA,NA,,,NA,,
106914,2012,4,10,Afghanistan,South Asia,Musa Qala district,32.311872,64.811084,"04/10/2012: A suicide bomber riding a motorcycle detonated near Afghan Local Police (ALP) officers in Musa Qala district, Helmand province, Afghanistan. The officers had been responding to a previous suicide attack. Three police officers were killed and six others injured in the blast. This was one of two coordinated attacks in Musa Qala and one of three attacks against police targets in Afghanistan on this date. The Taliban claimed responsbility for the incidents.",0,1,1,1,Bombing/Explosion,,,Police,Afghan Police,Vehicle,Afghanistan,,,,,,,,,Taliban,,,,0,1,0,NA,NA,Explosives,,,,"A motorcycle, driven by a suicide bomber, was used in the attack.",4,1,6,0,0,NA,,NA,,0,NA,NA,NA,NA,NA,NA,,,NA,,
92549,2009,6,28,Iraq,Middle East & North Africa,Ramadi,33.420948,43.295662,"06/28/2009: On Sunday evening at 2100, assailants detonated a magnetic improvised explosive device attached to the vehicle of a female member of the local council of Al Anbar in Ramadi, Al Anbar, Iraq, killing the member of the Sunni Iraqi Islamic party, injuring one civilian, and damaging one vehicle. No group claimed responsibility.",0,0,1,0,Bombing/Explosion,,,Government (General),Sunni Iraqi Islamic party,Assailants targeted the vehicle of a member of the local council of Al Anbar.,Iraq,,,,,,,,,Unknown,,,The specific motive for the attack was to intimidate the government.,0,-99,0,NA,NA,Explosives,,,,A magnetically attached improvised explosive device was used in the attack.,1,0,1,0,1,3,Minor (likely < $1 million),NA,The bombing caused damage to one vehicle.,0,NA,NA,NA,NA,NA,NA,,,NA,,
79083,2005,10,17,India,South Asia,Badrama,21.489294,84.276599,"10/17/2005: Approximately 25 suspected Maoists launched an hour-long attack against eight policemen on duty in Badrama village in India�s Orissa State killing one officer and injuring four others. Although no group claimed responsibility for the attack, Maoists had previously claimed nearby forested areas as �liberated zones.�",0,0,1,0,Armed Assault,,,Police,Indian Police,Police stationed in Badrama village.,India,,,,,,,,,Maoists,,,Unknown,0,25,0,NA,NA,Firearms,,,,,1,0,4,0,0,NA,,NA,,0,NA,NA,NA,NA,NA,NA,,,NA,,
78496,2005,7,13,Afghanistan,South Asia,Shindand district,31.506944,65.8475,"07/13/2005: Militants fired rockets into a U.S. military base in Afghanistan�s Kandahar (Province) Province, injuring two employees who worked there. The Taliban claimed responsibility for the attack.",1,0,1,0,Bombing/Explosion,,,Military,North Atlantic Treaty Organization (NATO): International Security Assistance Force (ISAF),Base,Afghanistan,,,,,,,,,Taliban,,,Unknown,0,NA,0,NA,NA,Explosives,,,,,2,0,NA,0,-9,NA,,NA,,0,NA,NA,NA,NA,NA,NA,,,NA,,
89652,2008,11,26,Thailand,Southeast Asia,Don Mueang,13.785793,100.560852,"11/26/2008: On Wednesday morning at 0645, a grenade attack occurred at the Don Mueang airport, the acting government house, in Don Mueang, Bangkok, Thailand. The grenade was allegedly launched from the toll way above the airport at anti-government protestors. Two people were injured in the attack. No group claimed responsibility for the attack.",0,0,1,0,Bombing/Explosion,,,Private Citizens & Property,,Anti-government protestors,Thailand,,,,,,,,,Unknown,,,The specific motive for the attack is unknown.,0,-99,0,NA,NA,Explosives,,,,A grenade was used in the attack.,0,0,2,0,-9,4,Unknown,NA,,0,NA,NA,NA,NA,NA,NA,,,NA,,
105567,2012,2,3,Kenya,Sub-Saharan Africa,Garissa,-0.45612,39.646123,"02/03/2012: Two gunmen opened fire at the Jubba Hotel bar in Garissa town, North Eastern province, Kenya. Three people were killed and one wounded in the incident. No group claimed responsibility for the attack; however, sources suspected Al-Shabaab, as they had previously stated that two of the victims were wanted for fleeing Somalia.",0,0,1,0,Armed Assault,,,Business,Jubba Hotel,Bar,Kenya,,,,,,,,,Al-Shabaab,,,"The specific motive is unknown; however, an Al-Shabaab leader claimed that two of the victims were wanted for fleeing Somalia in an attempt to sabotage the group.",0,2,0,NA,NA,Firearms,,,,,3,0,1,0,0,NA,,NA,,0,NA,NA,NA,NA,NA,NA,,,NA,,
91159,2009,3,23,India,South Asia,Chaliama,22.643432,86.137015,"03/23/2009: On Monday,  in Seraikela-Kharsawan District, Jharkhand, India, Shankar Das Goswami, the Jharkhand state president of the Forward Bloc Farmer's Wing was shot and killed by four gunmen late in the night at Chaliama. Goswami was returning home after taking part in a devotional program. Superintendent of Police, Sheetal Oraon said the mode of killing does not indicate that the Maoists might be responsible, but they are investigating all angles. No one has claimed responsibility and it is unknown if this attack caused any property damage.",0,0,1,0,Armed Assault,,,Government (General),Forward Bloc Farmer's Wing,The Jharkhand state president of the Forward Bloc Farmer's Wing,India,,,,,,,,,Unknown,,,The specific motive for the attack is unknown.,0,4,-99,NA,NA,Firearms,,,,Unknown firearms were used in the attack.,1,0,NA,NA,-9,NA,,NA,It Is unknown if the attack caused any property damage.,0,NA,NA,NA,NA,NA,NA,,,NA,,
96456,2010,5,12,Iran,Middle East & North Africa,Piranshahr,36.697842,45.142467,"05/12/2010: On Wednesday, near Zir Ab, in the Piranshahr district of Azarbayjan-e Gharbi, Iran, armed assailants fired upon a military convoy, killing four soldiers, wounding four others, and damaging several convoy vehicles. Kurdistan Free Life Party (PJAK) claimed responsibility.",0,0,1,0,Armed Assault,,,Military,Iranian Military,A military convoy,Iran,,,,,,,,,Kurdistan Free Life Party,,,The specific motive for the attack is unknown.,0,-99,0,NA,NA,Firearms,,,,Unknown firearms were used in the attack.,4,0,4,0,1,3,Minor (likely < $1 million),NA,The attack caused an unknown amount of property damage.,0,NA,NA,NA,NA,NA,NA,,,NA,,
147322,2015,4,26,Yemen,Middle East & North Africa,Taizz,13.586484,44.024105,"04/26/2015: Assailants attacked a military checkpoint in Taizz city, Taizz governorate, Yemen. There were no reported casualties in the attack. This was one of three similar attacks in Taizz on this date. No group claimed responsibility for the incident; however, sources attributed it to Supporters of Abd Rabbuh Mansur Hadi.",1,1,0,0,Unknown,,,Military,Military of Yemen,Checkpoint,Yemen,,,,,,,,,Supporters of Abd Rabbuh Mansur Hadi,,,,0,-99,0,NA,NA,Unknown,,,,,0,0,0,0,0,NA,,NA,,0,NA,NA,NA,NA,NA,NA,,,NA,,
133979,2014,6,27,Afghanistan,South Asia,Kabul,34.516895,69.147011,"06/27/2014: Assailants opened fire on the vehicle of Laila Ahrari in Kabul city, Kabul province, Afghanistan. Ahrari, an Independent Election Commission (IEC) commissioner, was not harmed; however, her driver was killed in the assault. No group claimed responsibility for the attack.",0,0,1,0,Armed Assault,,,Government (General),Independent Election Commission (IEC) of Afghanistan,Commissioner: Laila Ahrari,Afghanistan,,,,,,,,,Unknown,,,,0,2,0,NA,NA,Firearms,,,,,1,0,0,0,1,3,Minor (likely < $1 million),-99,A vehicle was damaged in this attack.,0,NA,NA,NA,NA,NA,NA,,,NA,,
107360,2012,4,27,Pakistan,South Asia,Karachi,24.891115,67.143311,"04/27/2012: Assailants threw a grenade at Nabil Gabol's vehicle in Lyari Town, Sindh province, Pakistan. Gabol, a Member of the National Assembly (MNA) for the Pakistan People's Party (PPP), was unhurt in the attack. No group claimed responsibility for the incident.",0,0,0,0,Assassination,,,Violent Political Party,Pakistan People's Party (PPP),Member of the National Assembly (MNA): Nabil Gabol,Pakistan,,,,,,,,,Unknown,,,,0,-99,0,NA,NA,Explosives,,,,,0,0,0,0,1,3,Minor (likely < $1 million),-99,A vehicle was damaged in this attack.,0,NA,NA,NA,NA,NA,NA,,,NA,,
109408,2012,7,16,Afghanistan,South Asia,Unknown,30.999081,65.434961,"07/16/2012: Assailants launched rocket-propelled grenades at an armored vehicle in Kandahar province, Afghanistan. Two United States soldiers died in the attack. No group claimed responsibility for the incident.",1,0,1,0,Armed Assault,,,Military,North Atlantic Treaty Organization (NATO): International Security Assistance Force (ISAF),"United States Soldiers: Specialist Sergio Eduardo Perez Jr., Nick Tayler",International,,,,,,,,,Unknown,,,,0,-99,0,NA,NA,Explosives,Firearms,,,Rocket-propelled grenades and small arms were used in the attack.,2,0,0,0,0,NA,,NA,,0,NA,NA,NA,NA,NA,NA,,,NA,,
173443,2017,3,29,Iraq,Middle East & North Africa,Mosul,36.354145,43.14357,"03/29/2017: Assailants fired missiles that landed and detonated in Bab Laksh neighborhood, Mosul, Nineveh, Iraq. This was one of three projectile attacks in different Mosul neighborhoods on the same day. At least seven people were killed and 11 other people were injured across all three incidents. No group claimed responsibility; however, sources attributed the attacks to the Islamic State of Iraq and the Levant (ISIL).",0,1,1,0,Bombing/Explosion,,,Private Citizens & Property,Not Applicable,Civilians,Iraq,,,,,,,,,Islamic State of Iraq and the Levant (ISIL),,,,0,-99,0,NA,NA,Explosives,,,,Several missiles were used in the attack.,2,0,4,0,-9,NA,,NA,,0,NA,NA,NA,NA,NA,NA,,,NA,,
123588,2013,11,18,India,South Asia,Kiriburu,22.10882,85.29112,"11/18/2013: Indian security forces discovered and defused an explosive device in a forest in Kiriburu town, Odisha state, India. The device was meant to target security personnel. No group has claimed responsibility; however, sources attributed the attempted attack to Maoists.",0,0,0,0,Bombing/Explosion,,,Military,Indian Armed Forces,Security Forces,India,,,,,,,,,Maoists,,,,0,-99,0,NA,NA,Explosives,,,,A 20 kilogram explosive device with a 10 meter wire was used in the attack.,0,0,0,0,0,NA,,NA,,0,NA,NA,NA,NA,NA,NA,,,NA,,
3086,1975,6,14,United States,North America,Chicago,41.842602,-87.681229,"06/14/1975: In the United States, members of the Armed Forces for National Liberation (FALN) bombed the United Insurance building in Chicago, Illinois, housing the United American Bank on the first floor of the building. FALN members claimed the attack by calling the Associated Press and stating that they placed three bombs at ""capitalist institutions in Chicago"" as well as telling of a type-written note left at a phone booth in a food shop at Union Station in Chicago. This explosion occurred in conjunction with Chicago's Annual Puerto Rican day parade.  Three people had minor injuries from the attack and the blast shattered windows through the tenth floor of the Insurance Building.",0,1,1,0,Bombing/Explosion,,,Business,United American Bank,United American Bank in the United Insurance Building,United States,,,,,,,,,Fuerzas Armadas de Liberacion Nacional (FALN),,,"Unknown; however, this incident occurred in conjunction with Chicago's Puerto Rican Day parade.",0,-99,-99,NA,NA,Explosives,,,,,0,0,3,3,1,3,Minor (likely < $1 million),-99,The explosion caused windows to shatter through the tenth floor of the building.,NA,NA,NA,NA,NA,NA,NA,,,NA,,
8624,1979,6,7,Spain,Western Europe,Alsasua,42.895218,-2.168798,,0,0,1,0,Bombing/Explosion,,,Business,,bar,Spain,,,,,,,,,Unknown,,,,0,NA,NA,NA,NA,Explosives,,,,Explosive,0,NA,0,NA,1,3,Minor (likely < $1 million),15000,"Damages: explosion, extent of damage unknown, estimated at $15,000",0,NA,NA,NA,0,NA,NA,,,NA,,
72159,2001,4,10,Thailand,Southeast Asia,Surat Thani,9.133885,99.326698,"04/10/2001: At least two armed gunmen shot and killed Witayudh Saengsopit, a radio show host as well as the local cooperative's chairman, as he got out of his Mercedes outside the Home Media Company's offices in Surat Thani, Muang district, Thailand around 4am.  Although no group claimed responsibility for the shooting, two men were arrested as suspects after two 9mm pistols were found in their homes and one was spotted in the vicinity of the shooting.",1,0,1,0,Assassination,,,Journalists & Media,Home Media Company,Witayudh Saengsopit,Thailand,,,,,,,,,Unknown,,,"Although the specific motive was unknown, sources note that Saengsopit reported on political corruption in the area and had received several death threats recently.  He had been under supervision by authorities in case someone made any attempts on his life, but that supervision was lifted shortly before he was killed.  One of the men arrested in this case was a local politician's aide.  Sources also note that in his position as chairman of the local cooperative, he had engaged in restructuring which had left many people without jobs and angry.",0,2,2,NA,NA,Firearms,,,,A 9mm pistol was used to shoot Saengsophit five times,1,0,0,0,0,NA,,NA,,0,NA,NA,NA,NA,NA,NA,,,NA,,
150703,2015,7,17,Libya,Middle East & North Africa,Wadi Marqas,32.872169,22.236643,"07/17/2015: Security forces discovered and defused an explosive device planted on a bridge near Wadi Marqas, Derna district, Libya. No group claimed responsibility for the incident.",0,0,0,0,Bombing/Explosion,,,Unknown,Unknown,Unknown,Libya,,,,,,,,,Unknown,,,,0,-99,0,NA,NA,Explosives,,,,,0,0,0,0,0,NA,,NA,,0,NA,NA,NA,NA,NA,NA,,,NA,,
25002,1985,5,8,El Salvador,Central America & Caribbean,San Miguel,13.491242,-88.173134,,0,1,1,0,Bombing/Explosion,,,Utilities,,electrical high tension line tower,El Salvador,,,,,,,,,Farabundo Marti National Liberation Front (FMLN),,,,0,NA,NA,NA,NA,Explosives,,,,Explosive,NA,NA,NA,NA,1,3,Minor (likely < $1 million),55000,,0,NA,NA,NA,0,NA,NA,,,NA,,
34528,1988,5,23,Greece,Western Europe,Athens,37.99749,23.762728,,0,0,1,0,Bombing/Explosion,,,Government (Diplomatic),Turkish State Dept.,"vehicle, Diplomat Gular Yakub",Turkey,,,,,,,,,November 17 Revolutionary Organization (N17RO),,,,0,NA,NA,NA,NA,Explosives,,,,Explosive,0,NA,0,NA,1,3,Minor (likely < $1 million),15000,,0,NA,NA,NA,0,NA,NA,,,NA,,
145503,2015,3,11,Iraq,Middle East & North Africa,Ramadi,33.420948,43.295662,"03/11/2015: A suicide bomber was identified and killed by security forces prior to detonating at an entrance of Ramadi city, Al Anbar governorate, Iraq. This was one of four unsuccessful suicide bombings that targeted entrances of the city and one of 12 coordinated attacks in Ramadi on the same day. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incidents.",0,1,0,1,Bombing/Explosion,,,Other,Not Applicable,City Entrance,Iraq,,,,,,,,,Islamic State of Iraq and the Levant (ISIL),,,,0,1,0,NA,NA,Explosives,,,,,1,1,0,0,0,NA,,NA,,0,NA,NA,NA,NA,NA,NA,,,NA,,
79251,2005,12,6,Iraq,Middle East & North Africa,Baghdad,33.303566,44.371773,"12/06/2005: Two police officers blew themselves up at Baghdad�s police academy building, killing at least 36 fellow officers and wounding at least 72 more. Al-Qaida in Iraq claimed responsibility for the incident. This incident was similar to other attacks on U.S. Army and Iraqi police forces during this period before parliamentary elections and during Saddam Hussein�s trial.",0,0,1,1,Bombing/Explosion,,,Police,Iraqi Police Service (IPS),Baghdad Police Academy,Iraq,,,,,,,,,Al-Qaida in Iraq,,,Unknown,0,2,0,NA,NA,Explosives,,,,The two perpetrators were said to have suicide/explosive vests.,36,2,72,0,-9,NA,,NA,,0,NA,NA,NA,NA,NA,NA,,,NA,,
42607,1990,5,23,South Africa,Sub-Saharan Africa,Pretoria,-25.748281,28.212069,,0,0,1,0,Bombing/Explosion,,,Private Citizens & Property,Government,Afrikaner Museum*,South Africa,,,,,,,,,Nazi Boerestat Party,,,,0,NA,NA,NA,NA,Explosives,,,,Explosive,0,NA,0,NA,1,NA,,NA,,0,NA,NA,NA,0,NA,NA,,,NA,,
163108,2016,5,31,Iraq,Middle East & North Africa,Rasheed,33.117836,44.369362,"05/31/2016: An explosive device detonated near shops in Rasheed, Babil, Iraq. One person was killed and eight people were injured in the blast. No group claimed responsibility for the incident.",0,0,1,0,Bombing/Explosion,,,Business,Unknown,Stores,Iraq,,,,,,,,,Unknown,,,,0,-99,0,NA,NA,Explosives,,,,,1,0,8,0,-9,NA,,NA,It is unknown if any property was damaged in this attack.,0,NA,NA,NA,NA,NA,NA,,,NA,,
130553,2014,4,18,Iraq,Middle East & North Africa,Kirkuk,35.45211,44.375465,"04/18/2014: An explosive device detonated at an under-construction residence belonging to a member of the Peshmerga in Askari neighborhood, Kirkuk city, Kirkuk, Iraq. Four police officers were wounded in the blast. This was one of three coordinated attacks at this location on April 18, 2014. This third blast occurred as first responders were arriving to the scene of the first two attacks. No group claimed responsibility for the incident.",0,1,1,0,Bombing/Explosion,,,Police,Iraqi Police Service (IPS),Officers,Iraq,,,,,,,,,Unknown,,,,0,-99,0,NA,NA,Explosives,,,,,0,0,4,0,0,NA,,NA,,0,NA,NA,NA,NA,NA,NA,,,NA,,
140519,2014,11,16,Iraq,Middle East & North Africa,Yathrib,33.994591,44.357273,"11/16/2014: Assailants detonated explosives at a house in Yathrib region, Saladin governorate, Iraq. This was one of seven similar attacks in the area on the same day. There were no reported casualties resulting from the blasts. No group claimed responsibility for the incidents; however, sources attributed the attacks to Islamic State of Iraq and the Levant (ISIL).",0,1,1,0,Bombing/Explosion,,,Private Citizens & Property,Not Applicable,House,Iraq,,,,,,,,,Islamic State of Iraq and the Levant (ISIL),,,,0,-99,0,NA,NA,Explosives,,,,,0,0,0,0,1,3,Minor (likely < $1 million),-99,A house was damaged in this attack.,0,NA,NA,NA,NA,NA,NA,,,NA,,
89119,2008,10,20,Iraq,Middle East & North Africa,Baghdad,33.303566,44.371773,"10/20/2008: On Monday, a roadside bomb struck a double-decker bus in Baghdad, Iraq, killing two people and wounding seven others. Iraqi police and hospital officials said the bus was carrying employees of Iraq's Housing Ministry through the Shiite-dominated neighborhood of Mashtal in the eastern part of the city when the blast occurred. No one claimed responsibility for the attack.",0,0,1,0,Bombing/Explosion,,,Transportation,Iraq Housing Ministry,The IED targeted a double-decker bus carrying employees of Iraq's Housing Ministry.,Iraq,,,,,,,,,Unknown,,,The specific motive for the attack is unknown.,0,-99,0,NA,NA,Explosives,,,,A roadside bomb was used in the attack.,2,0,7,0,-9,NA,,NA,It is unknown if property damage occurred.,0,NA,NA,NA,NA,NA,NA,,,NA,,
74097,2002,5,7,Spain,Western Europe,Eibar,43.18418,-2.473289,"05/07/2002: In one of two related incidents, a home-made device exploded at a Banco Bilbao Vizcaya Argentaria office in Eibar, Spain. One hour earlier that night in Vitoria, also located in Spain�s Basque Country, two banks were attacked by three youths, who were later arrested. No group claimed responsibility for the attack.",0,1,1,0,Bombing/Explosion,,,Business,Banco Bilbao Vizcaya Argentaria,Banco Bilbao Vizcaya Argentaria office located in Eibar,Spain,,,,,,,,,Unknown,,,Unknown,0,NA,0,NA,NA,Explosives,,,,A home-made device explosive device was used in the attack.,0,0,0,0,1,4,Unknown,NA,,0,NA,NA,NA,NA,NA,NA,,,NA,,
130935,2014,4,27,Somalia,Sub-Saharan Africa,Mogadishu,2.059819,45.326115,"04/27/2014: Assailants attacked a Somali National Army (SNA) base in Huriwa neighborhood, Mogadishu city, Banaadir region, Somalia. Four civilians were killed in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Shabaab.",0,0,1,0,Unknown,,,Military,Somali National Army (SNA),Base,Somalia,Private Citizens & Property,Suqa Holaha Market,Market,Somalia,,,,,Al-Shabaab,,,,0,-99,0,NA,NA,Unknown,,,,,4,0,0,0,-9,NA,,NA,It is unknown if any property was damaged in this attack.,0,NA,NA,NA,NA,NA,NA,,,NA,,
36472,1988,12,5,Pakistan,South Asia,Karachi,24.891115,67.143311,,-9,0,1,0,Armed Assault,,,Private Citizens & Property,,Refugees outside U.N. office,Pakistan,,,,,,,,,Unknown,,,,0,NA,NA,NA,NA,Firearms,,,,Automatic firearm,1,NA,5,NA,1,NA,,NA,,0,NA,NA,NA,0,NA,NA,,,NA,,
76373,2004,3,31,Iraq,Middle East & North Africa,Habbaniyah,33.382431,43.587631,"03/31/2004: An explosive device detonated near a Multi-National Force � Iraq (MNF-I) vehicle in Habbaniyah, Al Anbar, Iraq. At least five United States soldiers were killed in the blast. No group claimed responsibility for the attack.",1,0,1,0,Bombing/Explosion,,,Military,Multi-National Force � Iraq (MNF-I),United States Vehicle,International,,,,,,,,,Unknown,,,,0,-99,-99,NA,NA,Explosives,,,,Roadside bomb,5,0,0,0,1,4,Unknown,NA,One vehicle was damaged in the attack.,0,NA,NA,NA,NA,NA,NA,,,NA,,
105412,2012,1,26,Nigeria,Sub-Saharan Africa,Unknown,12.184416,6.237595,"01/26/2012: Approximately 100 gunmen blocked a highway and took hostages in Zamfara state, Nigeria. When a number of the hostages attacked the gunmen, a shootout ensued. At least 14 hostages were killed and their bodies burned as a result. No group claimed responsibility for the attack; however, sources attributed it to Boko Haram.",0,0,1,0,Hostage Taking (Kidnapping),,,Private Citizens & Property,Not Applicable,Civilians,Nigeria,,,,,,,,,Boko Haram,,,,0,100,0,NA,NA,Firearms,,,,,14,0,0,0,0,NA,,NA,,1,14,-99,NA,0,NA,NA,,Hostage(s) killed (not during rescue attempt),0,,
